song_id,genre,sub-genre,sub-genre-alt
1,20,,
2,12,,
3,13,,
4,12,,
5,27,,
6,21,,
7,8,,
8,10,,
9,27,,
10,8,,
11,8,,
12,12,31,
13,12,,
14,25,,
15,15,,
16,27,,
17,12,31,
18,12,30,
19,12,7,
20,18,11,
21,16,11,19
22,34,2,
23,27,14,
24,29,6,
25,29,6,
26,29,,
27,17,,
28,27,,
29,26,,
30,29,,
31,27,,
32,33,,
33,12,,
34,11,16,19
35,33,,
36,27,12,
37,13,,
38,29,,
39,29,6,,
40,19,,
41,10,,
42,10,,
43,32,,
44,10,,
45,9,,
46,6,,
47,29,6,
48,24,,
49,27,23,
50,27,2,
51,27,2,
52,17,,
53,27,14,
54,27,22,
55,5,,
56,29,23,
57,26,,
58,27,14,
59,27,2,
60,1,,
61,8,,
62,27,,
63,19,,
64,4,,
65,10,,
66,21,,
67,26,,
68,29,12,
69,10,,
70,2,,
71,27,,
72,5,,
73,8,,
74,27,,
75,21,,
76,21,,
77,2,,
78,4,,
79,17,,
80,9,,
81,12,,
82,20,,
83,14,,
84,12,,
85,21,,
86,15,,
87,15,,
88,27,,
89,1,,
90,15,,
91,21,,
92,3,,
93,27,14,
94,8,,
95,4,,
96,27,2,
