album_id,album
1,Listen
2,Metals
3,From Detroit to St Germain
4,The Best of Arlo Guthrie
5,Under The Covers: Vol. 2
6,All Thing Bright And Beautiful - Deluxe
7,American Heart - Single
8,American Pie
9,Aqualung
10,I Hope You Dance
11,Greatest Hits
12,Big Jet Plane
13,Bright Morning Stars
14,The Definitive Collection
15,Earl Klugh
16,Bring Me Home
17,Barton Hollow
18,As good as it gets
19,At Budokan
20,Ceremonial and war dances
21,Hoea
22,Fallen
23,Five Minutes With Arctic Monkeys
24,Shona laing
25,Celtica 1
26,Soul Divas
27,Food In The Belly
28,One More from the Road
29,Lights of the Pacific: The Very Best Of
30,The Collection Vol.1
31,Primitive Man
32,Extended Play
33,Til We Outnumber 'Em: Woody Guthrie
34,Oceania
35,Babel
36,The Collection Vol.2
37,Drunken Lullabies
38,I'm in the Mood for Dancing
39,A Place On Earth - The Greatest Hits
40,The Best of Nancy Wilson
41,10 Years Of Hits
42,Gael Force
43,Live! Not Enough Shouting
44,Electric Music For The Mind And The Mind
45,The Division Bell
46,Fields of Fire
47,Sarah Slean
48,Strange Mercy
49,Finally We Are No One
50,Shamrock Diaries
51,A Momentary Lapse Of Reason
52,Continued Silence EP
53,Watermark
54,Early Alchemy
55,CMT Crossroads
56,The Cross of Changes
57,A Hundred Miles or More: A Collection
58,three decades of males Disc 2
59,Footrot Flats: A Dog's Tale
60,Listen: The Very Best of Herbs
61,Slow Train Coming
62,Spanish Train & Other Stories
63,Running on Empty
64,SAY YOU WILL
65,Walk Like An Egyptian: The Best Of
66,lily
67,Love This Giant
68,Flying Cowboys
69,Fundamental
70,His Young Heart
71,California
72,Here Comes the Sun (1971)
73,To Love Somebody (1969)
74,The Best of Joe Cocker [Mushroom]
75,Music for Lovers
76,Smilewound
77,Songs from the Front Lawn
78,Live In Texas (7 June 2006)
79,Dixie Chicks
80,Zombie
