song_id,song_title,duration,size,track,album_id
1,2-30.mp3,60,1446,7,Listen
2,a_commotion.mp3,233,6904,5,Metals
3,alabama_blues.mp3,439,6865,2,From Detroit to St Germain
4,alices_restaurant_massacree.mp3,1111,34731,1,The Best of Arlo Guthrie
5,all_the_young_dudes.mp3,232,9081,5,Under The Covers: Vol. 2
6,alligator_sky.mp3,195,6176,13,All Thing Bright And Beautiful - Deluxe
7,american_heart.mp3,230,9069,1,American Heart - Single
8,american_pie.mp3,512,20045,1,American Pie
9,aqualung.mp3,397,11596,1,Aqualung
10,ashes_by_now.mp3,251,9851,7,I Hope You Dance
11,ashes_by_now.mp3,252,9880,8,Greatest Hits
12,big_jet_plane_(radio_edit).mp3,223,8776,1,Big Jet Plane
13,bird_song.mp3,213,3338,3,Bright Morning Stars
14,boogie_on_reggae_woman.mp3,314,10894,4,The Definitive Collection
15,brazilian_stomp.mp3,339,10605,3,Earl Klugh
16,bring_me_home.mp3,365,11428,5,Bring Me Home
17,cest_la_mort.mp3,149,4094,3,Barton Hollow
18,chicken_on_a_raft.mp3,210,6583,6,As good as it gets
19,dont_think_twice_its_all_right.mp3,301,11766,5,At Budokan
20,eagle_plume_dancer.mp3,145,2269,7,Ceremonial and war dances
21,earth_and_sky.mp3,208,5984,3,Hoea
22,everybodys_fool.mp3,197,7893,3,Fallen
23,fake_tales_of_san_francisco.mp3,181,7271,1,Five Minutes With Arctic Monkeys
24,fear.mp3,262,4101,3,Shona laing
25,fields_of_gold.mp3,214,8382,15,Celtica 1
26,fire.mp3,206,6465,7,Soul Divas
27,fortune_teller.mp3,207,4866,4,Food In The Belly
28,free_bird_live_[fox_theater].mp3,816,25506,12,One More from the Road
29,french_letter.mp3,276,8646,3,Lights of the Pacific: The Very Best Of
30,got_the_love_-_2009.mp3,227,8874,12,The Collection Vol.1
31,great_southern_land.mp3,319,12468,1,Primitive Man
32,hallelujah.mp3,211,8263,3,Extended Play
33,hard_travelin_hootenanny.mp3,210,6588,1,Til We Outnumber 'Em: Woody Guthrie
34,he_aha_ra_te_manu.mp3,143,4444,2,Hoea
35,hineraukatauri_(goddess_of_music).mp3,294,9222,4,Oceania
36,hopeless_wanderer.mp3,307,10236,9,Babel
37,how_do_you_plead.mp3,400,6251,7,From Detroit to St Germain
38,how_sweet_can_you_get_2009.mp3,238,9330,9,The Collection Vol.2
39,if_i_ever_leave_this_world_alive.mp3,201,4722,4,Drunken Lullabies
40,ill_be_long_gone.mp3,356,11141,4,Bring Me Home
