song_id,artist_id,secondary_artist_id
1,A Flock of Seagulls,
2,Feist,
3,St Germain,
4,Arlo Guthrie,
5,Matthew Sweet,Susanna Hoffs
6,Owl City,
7,Faith Hill,
8,Don McLean,
9,Jethro Tull,
10,Lee Ann Womack,
11,Lee Ann Womack,
12,Angus,Julia Stone
13,The Wailin' Jennys,
14,Stevie Wonder,
15,Earl Klugh,
16,Mother Earth,
17,The Civil Wars,
18,As good as it gets,
19,Bob Dylan,
20,Black Lodge Singers,
21,WAI.TAI,
22,Evanescence,
23,Arctic Monkeys,
24,Shona laing,
25,Varios,
26,Soul Divas,
27,Xavier Rudd,
28,Lynyrd Skynyrd,
29,Herbs,
30,Average White Band,
31,Icehouse,
32,Gin Wigmore,
33,Arlo Guthrie,
34,WAI.TAI,
35,Oceania,
36,Mumford & Sons,
37,St Germain,
38,Average White Band,
39,Flogging Molly,
40,Mother Earth,
41,The Nolans,
42,Belinda Carlisle,
43,Nancy Wilson,
44,Belinda Carlisle,
45,Ronan Keating,
46,Gael Force,
47,Wolfstone,
48,Country Joe,The Fish
49,Pink Floyd,
50,Big Country,
51,Sarah Slean,
52,Xavier Rudd,
53,St. Vincent,
54,Mum,
55,Chris Rea,
56,Pink Floyd,
57,Herbs,
58,Imagine Dragons,
59,Enya,
60,Acoustic Alchemy,
61,Dixie Chicks,James Taylor
62,James Taylor,
63,Enigma,
64,Alison Krauss,
65,three decades of males,
66,Dave Dobbyn,Herbs
67,Herbs,
68,Bob Dylan,
69,Chris de Burgh,
70,Sarah Slean,
71,Jackson Browne,
72,Fleetwood Mac,
73,Dixie Chicks & James Taylor,
74,James Taylor,
75,The Bangles,
76,Wendy Matthews,
77,David Byrne & St. Vincent,
78,Rickie Lee Jones,
79,Xavier Rudd,
80,Pet Shop Boys,
81,Bob Dylan,
82,A Flock of Seagulls,
83,Daughter,
84,Arlo Guthrie,
85,Wilson Phillips,
86,Nina Simone,
87,Nina Simone,
88,Joe Cocker,
89,Acoustic Alchemy,
90,Maria Muldaur,
91,Mum,
92,The Front Lawn,
93,Arctic Monkeys,
94,Dixie Chicks,
95,Alison Krauss,
96,The Cranberries,
