song_id,genre,sub-genre,sub-genre-alt
1,New Wave,,
2,Folk,,
3,Goa,,
4,Folk,,
5,Rock,,
6,Pop,,
7,Country,,
8,Easy Listening,,
9,Rock,,
10,Country,,
11,Country,,
12,Folk,US,
13,Folk,,
14,R&B,,
15,Jazz,,
16,Rock,,
17,Folk,US,
18,Folk,UK,
19,Folk,Cont,
20,Native American,Ethnic,
21,Maori,Ethnic,New Age
22,Alternative Metal,,
23,Rock,Indie,
24,Rock ,Celtic,
25,Rock ,Celtic,
26,Soul,,
27,Mellow,,
28,Rock,,
29,Reggae,,
30,Soul,,
31,Rock,,
32,World,,
33,Folk,,
34,Ethnic,Maori,New Age
35,World,,
36,Rock,Folk,
37,Goa,,
38,Soul,,
39,Rock Celtic,,
40,New Age,,
41,Easy Listening,,
42,Easy Listening,,
43,Vocal,,
44,Easy Listening,,
45,Dance,,
46,Celtic,,
47,Rock Celtic,,
48,Psychedelic,,
49,Rock,Progressive,
50,Rock,Alternative,
51,Rock,Alternative,
52,Mellow,,
53,Rock,Indie,
54,Rock,Post,
55,Blues,,
56,Progressive Rock,,
57,Reggae,,
58,Rock,Indie,
59,Rock,Alternative,
60,Acoustic,,
61,Country,,
62,Rock,,
63,New Age,,
64,Bluegrass,,
65,Easy Listening,,
66,Pop,,
67,Reggae,,
68,Folk Rock,,
69,Easy Listening,,
70,Alternative,,
71,Rock,,
72,Blues,,
73,Country,,
74,Rock,,
75,Pop,,
76,Pop,,
77,Alternative,,
78,Bluegrass,,
79,Mellow,,
80,Dance,,
81,Folk Cont,,
82,New Wave,,
83,Indie,,
84,Folk,,
85,Pop,,
86,Jazz,,
87,Jazz,,
88,Rock,,
89,Acoustic,,
90,Jazz,,
91,Pop,,
92,Avante-Garde,,
93,Rock,Indie,
94,Country,,
95,Bluegrass,,
96,Rock,Alternative,
