song_id,artist_id,secondary_artist_id
1,1,
2,2,
3,3,
4,4,
5,5,73
6,6,
7,7,
8,8,
9,9,
10,10,
11,10,
12,11,75
13,12,
14,13,
15,14,
16,15,
17,16,
18,17,
19,18,
20,19,
21,20,
22,21,
23,22,
24,23,
25,24,
26,25,
27,26,
28,27,
29,28,
30,29,
31,30,
32,31,
33,4,
34,20,
35,32,
36,33,
37,3,
38,29,
39,34,
40,15,
41,35,
42,36,
43,37,
44,36,
45,38,
46,39,
47,40,
48,41,74
49,42,
50,43,
51,44,
52,26,
53,45,
54,46,
55,47,
56,42,
57,28,
58,48,
59,49,
60,50,
61,51,52
62,52,
63,53,
64,54,
65,55,
66,56,28
67,28,
68,18,
69,57,
70,44,
71,58,
72,59,
73,60,
74,52,
75,61,
76,62,
77,63,
78,64,
79,26,
80,65,
81,18,
82,1,
83,66,
84,4,
85,67,
86,68,
87,68,
88,69,
89,50,
90,70,
91,46,
92,71,
93,22,
94,51,
95,54,
96,72,
